split,model,user_id,holdout,rank,hit,precision_at_5,recall_at_5,f1_at_5,reciprocal_rank_at_5,latency_ms,recommended
validation,alpha=0.3,U001,B007,,0,0.0,0.0,0.0,0.0,0.4345000002103916,"['B020', 'B019', 'B006', 'B009', 'B016']"
validation,alpha=0.3,U002,B003,,0,0.0,0.0,0.0,0.0,0.3544000001056702,"['B020', 'B019', 'B006', 'B007', 'B009']"
validation,alpha=0.3,U003,B016,5,1,0.2,1.0,0.33333333333333337,0.2,0.49739999985831673,"['B019', 'B012', 'B020', 'B003', 'B016']"
validation,alpha=0.3,U004,B016,,0,0.0,0.0,0.0,0.0,0.48670000023776083,"['B002', 'B001', 'B020', 'B019', 'B006']"
validation,alpha=0.3,U005,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.379700000394223,"['B006', 'B019', 'B020', 'B007', 'B009']"
validation,alpha=0.3,U006,B006,,0,0.0,0.0,0.0,0.0,0.3463000002739136,"['B019', 'B020', 'B007', 'B009', 'B016']"
validation,alpha=0.3,U007,B015,1,1,0.2,1.0,0.33333333333333337,1.0,0.27709999994840473,"['B015', 'B002', 'B001', 'B017', 'B019']"
validation,alpha=0.3,U008,B012,2,1,0.2,1.0,0.33333333333333337,0.5,0.40450000005876063,"['B019', 'B012', 'B016', 'B020', 'B009']"
validation,alpha=0.3,U009,B012,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.2531000000089989,"['B019', 'B018', 'B012', 'B020', 'B016']"
validation,alpha=0.3,U010,B015,,0,0.0,0.0,0.0,0.0,0.43500000037965947,"['B020', 'B019', 'B006', 'B009', 'B016']"
validation,alpha=0.3,U011,B016,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.42020000000775326,"['B019', 'B020', 'B016', 'B006', 'B018']"
validation,alpha=0.3,U012,B006,,0,0.0,0.0,0.0,0.0,0.3362000002198329,"['B019', 'B020', 'B007', 'B009', 'B016']"
validation,alpha=0.3,U013,B017,,0,0.0,0.0,0.0,0.0,0.33660000008239876,"['B019', 'B007', 'B016', 'B009', 'B006']"
validation,alpha=0.3,U014,B013,,0,0.0,0.0,0.0,0.0,0.3644999997050036,"['B019', 'B020', 'B016', 'B006', 'B009']"
validation,alpha=0.3,U015,B007,4,1,0.2,1.0,0.33333333333333337,0.25,0.35780000007434865,"['B002', 'B008', 'B013', 'B007', 'B019']"
validation,alpha=0.4,U001,B007,,0,0.0,0.0,0.0,0.0,0.44129999969300115,"['B020', 'B019', 'B006', 'B009', 'B016']"
validation,alpha=0.4,U002,B003,4,1,0.2,1.0,0.33333333333333337,0.25,0.44579999985217,"['B020', 'B019', 'B006', 'B003', 'B007']"
validation,alpha=0.4,U003,B016,5,1,0.2,1.0,0.33333333333333337,0.2,0.47360000007756753,"['B019', 'B012', 'B020', 'B003', 'B016']"
validation,alpha=0.4,U004,B016,5,1,0.2,1.0,0.33333333333333337,0.2,0.49600000011196244,"['B002', 'B001', 'B020', 'B019', 'B016']"
validation,alpha=0.4,U005,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.36969999973734957,"['B006', 'B019', 'B020', 'B007', 'B009']"
validation,alpha=0.4,U006,B006,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.35840000009557116,"['B019', 'B020', 'B006', 'B007', 'B009']"
validation,alpha=0.4,U007,B015,1,1,0.2,1.0,0.33333333333333337,1.0,0.27110000019092695,"['B015', 'B002', 'B001', 'B017', 'B019']"
validation,alpha=0.4,U008,B012,2,1,0.2,1.0,0.33333333333333337,0.5,0.40510000007998315,"['B019', 'B012', 'B016', 'B018', 'B020']"
validation,alpha=0.4,U009,B012,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.25490000007266644,"['B019', 'B018', 'B012', 'B016', 'B020']"
validation,alpha=0.4,U010,B015,,0,0.0,0.0,0.0,0.0,0.41909999981726287,"['B020', 'B019', 'B006', 'B009', 'B016']"
validation,alpha=0.4,U011,B016,2,1,0.2,1.0,0.33333333333333337,0.5,0.40660000013303943,"['B019', 'B016', 'B020', 'B018', 'B006']"
validation,alpha=0.4,U012,B006,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.32349999992220546,"['B019', 'B020', 'B006', 'B007', 'B009']"
validation,alpha=0.4,U013,B017,,0,0.0,0.0,0.0,0.0,0.3332000001137203,"['B019', 'B007', 'B016', 'B009', 'B006']"
validation,alpha=0.4,U014,B013,,0,0.0,0.0,0.0,0.0,0.3560000000106811,"['B019', 'B020', 'B016', 'B006', 'B009']"
validation,alpha=0.4,U015,B007,4,1,0.2,1.0,0.33333333333333337,0.25,0.35410000009505893,"['B002', 'B008', 'B013', 'B007', 'B019']"
validation,alpha=0.5,U001,B007,,0,0.0,0.0,0.0,0.0,0.4359999998087005,"['B020', 'B006', 'B019', 'B009', 'B016']"
validation,alpha=0.5,U002,B003,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.3087000000050466,"['B020', 'B006', 'B003', 'B019', 'B007']"
validation,alpha=0.5,U003,B016,5,1,0.2,1.0,0.33333333333333337,0.2,0.4498999996940256,"['B019', 'B012', 'B020', 'B003', 'B016']"
validation,alpha=0.5,U004,B016,,0,0.0,0.0,0.0,0.0,0.46490000022458844,"['B002', 'B001', 'B020', 'B019', 'B018']"
validation,alpha=0.5,U005,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.35709999974642415,"['B006', 'B019', 'B020', 'B007', 'B009']"
validation,alpha=0.5,U006,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.3416999998080428,"['B006', 'B019', 'B020', 'B007', 'B009']"
validation,alpha=0.5,U007,B015,1,1,0.2,1.0,0.33333333333333337,1.0,0.2638999999362568,"['B015', 'B002', 'B001', 'B017', 'B019']"
validation,alpha=0.5,U008,B012,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.3864999998768326,"['B019', 'B018', 'B012', 'B016', 'B020']"
validation,alpha=0.5,U009,B012,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.3612000000430271,"['B019', 'B018', 'B012', 'B016', 'B020']"
validation,alpha=0.5,U010,B015,,0,0.0,0.0,0.0,0.0,0.4268000002412009,"['B020', 'B006', 'B019', 'B009', 'B016']"
validation,alpha=0.5,U011,B016,2,1,0.2,1.0,0.33333333333333337,0.5,0.4720000001725566,"['B019', 'B016', 'B018', 'B020', 'B006']"
validation,alpha=0.5,U012,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.34279999999853317,"['B006', 'B019', 'B020', 'B007', 'B009']"
validation,alpha=0.5,U013,B017,,0,0.0,0.0,0.0,0.0,0.35640000032799435,"['B019', 'B007', 'B016', 'B009', 'B006']"
validation,alpha=0.5,U014,B013,,0,0.0,0.0,0.0,0.0,0.3703999996105267,"['B019', 'B016', 'B020', 'B006', 'B009']"
validation,alpha=0.5,U015,B007,4,1,0.2,1.0,0.33333333333333337,0.25,0.4716000003099907,"['B002', 'B008', 'B013', 'B007', 'B020']"
validation,alpha=0.6,U001,B007,,0,0.0,0.0,0.0,0.0,0.45019999970463687,"['B020', 'B006', 'B019', 'B009', 'B016']"
validation,alpha=0.6,U002,B003,2,1,0.2,1.0,0.33333333333333337,0.5,0.36150000005363836,"['B020', 'B003', 'B006', 'B017', 'B019']"
validation,alpha=0.6,U003,B016,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.4813000000467582,"['B019', 'B012', 'B016', 'B020', 'B003']"
validation,alpha=0.6,U004,B016,,0,0.0,0.0,0.0,0.0,0.46539999993910897,"['B002', 'B001', 'B020', 'B018', 'B019']"
validation,alpha=0.6,U005,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.3536999997777457,"['B006', 'B020', 'B019', 'B014', 'B007']"
validation,alpha=0.6,U006,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.34669999968173215,"['B006', 'B020', 'B019', 'B014', 'B007']"
validation,alpha=0.6,U007,B015,1,1,0.2,1.0,0.33333333333333337,1.0,0.26760000037029386,"['B015', 'B002', 'B001', 'B017', 'B016']"
validation,alpha=0.6,U008,B012,4,1,0.2,1.0,0.33333333333333337,0.25,0.39120000019465806,"['B019', 'B018', 'B016', 'B012', 'B020']"
validation,alpha=0.6,U009,B012,2,1,0.2,1.0,0.33333333333333337,0.5,0.26630000002114684,"['B019', 'B012', 'B018', 'B016', 'B020']"
validation,alpha=0.6,U010,B015,,0,0.0,0.0,0.0,0.0,0.4573000001073524,"['B020', 'B006', 'B019', 'B009', 'B016']"
validation,alpha=0.6,U011,B016,2,1,0.2,1.0,0.33333333333333337,0.5,0.44389999993654783,"['B019', 'B016', 'B018', 'B020', 'B013']"
validation,alpha=0.6,U012,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.42910000001938897,"['B006', 'B020', 'B019', 'B014', 'B007']"
validation,alpha=0.6,U013,B017,,0,0.0,0.0,0.0,0.0,0.3243000001020846,"['B019', 'B007', 'B016', 'B009', 'B006']"
validation,alpha=0.6,U014,B013,,0,0.0,0.0,0.0,0.0,0.3513999999995576,"['B019', 'B016', 'B020', 'B006', 'B009']"
validation,alpha=0.6,U015,B007,4,1,0.2,1.0,0.33333333333333337,0.25,0.3540000002431043,"['B002', 'B008', 'B013', 'B007', 'B020']"
validation,alpha=0.7,U001,B007,,0,0.0,0.0,0.0,0.0,0.44489999982033623,"['B020', 'B006', 'B017', 'B009', 'B016']"
validation,alpha=0.7,U002,B003,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.33159999975396204,"['B020', 'B017', 'B003', 'B006', 'B009']"
validation,alpha=0.7,U003,B016,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.48699999979362474,"['B019', 'B012', 'B016', 'B018', 'B020']"
validation,alpha=0.7,U004,B016,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.4747000002680579,"['B018', 'B002', 'B016', 'B001', 'B019']"
validation,alpha=0.7,U005,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.3645000001597509,"['B006', 'B014', 'B020', 'B019', 'B007']"
validation,alpha=0.7,U006,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.346100000115257,"['B006', 'B014', 'B020', 'B019', 'B007']"
validation,alpha=0.7,U007,B015,1,1,0.2,1.0,0.33333333333333337,1.0,0.2600000002530578,"['B015', 'B002', 'B001', 'B017', 'B016']"
validation,alpha=0.7,U008,B012,4,1,0.2,1.0,0.33333333333333337,0.25,0.38529999983438756,"['B018', 'B019', 'B016', 'B012', 'B009']"
validation,alpha=0.7,U009,B012,2,1,0.2,1.0,0.33333333333333337,0.5,0.24160000020856387,"['B019', 'B012', 'B016', 'B018', 'B020']"
validation,alpha=0.7,U010,B015,,0,0.0,0.0,0.0,0.0,0.42500000017753337,"['B020', 'B006', 'B017', 'B009', 'B016']"
validation,alpha=0.7,U011,B016,1,1,0.2,1.0,0.33333333333333337,1.0,0.4046000003654626,"['B016', 'B018', 'B019', 'B013', 'B020']"
validation,alpha=0.7,U012,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.3187000002071727,"['B006', 'B014', 'B020', 'B019', 'B007']"
validation,alpha=0.7,U013,B017,,0,0.0,0.0,0.0,0.0,0.3270000001975859,"['B019', 'B016', 'B007', 'B009', 'B006']"
validation,alpha=0.7,U014,B013,,0,0.0,0.0,0.0,0.0,0.34989999994650134,"['B019', 'B016', 'B020', 'B006', 'B009']"
validation,alpha=0.7,U015,B007,5,1,0.2,1.0,0.33333333333333337,0.2,0.3689999998641724,"['B002', 'B020', 'B008', 'B013', 'B007']"
validation,alpha=0.8,U001,B007,,0,0.0,0.0,0.0,0.0,0.4349000000729575,"['B020', 'B017', 'B006', 'B009', 'B016']"
validation,alpha=0.8,U002,B003,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.34219999997731065,"['B020', 'B017', 'B003', 'B006', 'B009']"
validation,alpha=0.8,U003,B016,2,1,0.2,1.0,0.33333333333333337,0.5,0.4783999997926003,"['B018', 'B016', 'B019', 'B012', 'B020']"
validation,alpha=0.8,U004,B016,2,1,0.2,1.0,0.33333333333333337,0.5,0.47020000010888907,"['B018', 'B016', 'B019', 'B002', 'B001']"
validation,alpha=0.8,U005,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.34800000003087916,"['B006', 'B014', 'B020', 'B019', 'B002']"
validation,alpha=0.8,U006,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.3839999999399879,"['B006', 'B014', 'B020', 'B019', 'B001']"
validation,alpha=0.8,U007,B015,1,1,0.2,1.0,0.33333333333333337,1.0,0.2635000000736909,"['B015', 'B002', 'B001', 'B017', 'B016']"
validation,alpha=0.8,U008,B012,4,1,0.2,1.0,0.33333333333333337,0.25,0.3805000001193548,"['B018', 'B016', 'B019', 'B012', 'B009']"
validation,alpha=0.8,U009,B012,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.24450000000797445,"['B019', 'B016', 'B012', 'B018', 'B020']"
validation,alpha=0.8,U010,B015,,0,0.0,0.0,0.0,0.0,0.4177999999228632,"['B020', 'B006', 'B017', 'B009', 'B016']"
validation,alpha=0.8,U011,B016,2,1,0.2,1.0,0.33333333333333337,0.5,0.41269999974247185,"['B018', 'B016', 'B019', 'B013', 'B020']"
validation,alpha=0.8,U012,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.3366999999343534,"['B006', 'B014', 'B020', 'B019', 'B001']"
validation,alpha=0.8,U013,B017,,0,0.0,0.0,0.0,0.0,0.3297000002930872,"['B020', 'B016', 'B007', 'B019', 'B009']"
validation,alpha=0.8,U014,B013,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.3529000000526139,"['B019', 'B016', 'B013', 'B020', 'B006']"
validation,alpha=0.8,U015,B007,,0,0.0,0.0,0.0,0.0,0.35519999983080197,"['B002', 'B020', 'B006', 'B008', 'B013']"
validation,alpha=0.9,U001,B007,,0,0.0,0.0,0.0,0.0,0.4235000001244771,"['B020', 'B017', 'B006', 'B009', 'B016']"
validation,alpha=0.9,U002,B003,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.3348000000187312,"['B017', 'B020', 'B003', 'B006', 'B009']"
validation,alpha=0.9,U003,B016,2,1,0.2,1.0,0.33333333333333337,0.5,0.47580000000380096,"['B018', 'B016', 'B019', 'B012', 'B020']"
validation,alpha=0.9,U004,B016,2,1,0.2,1.0,0.33333333333333337,0.5,0.4802000003110152,"['B018', 'B016', 'B019', 'B002', 'B012']"
validation,alpha=0.9,U005,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.9559000000081141,"['B006', 'B014', 'B020', 'B002', 'B003']"
validation,alpha=0.9,U006,B006,1,1,0.2,1.0,0.33333333333333337,1.0,0.9003999998640211,"['B006', 'B014', 'B020', 'B001', 'B002']"
validation,alpha=0.9,U007,B015,1,1,0.2,1.0,0.33333333333333337,1.0,0.4235999999764317,"['B015', 'B016', 'B014', 'B007', 'B018']"
validation,alpha=0.9,U008,B012,4,1,0.2,1.0,0.33333333333333337,0.25,0.9598999999980151,"['B018', 'B016', 'B019', 'B012', 'B013']"
validation,alpha=0.9,U009,B012,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.46130000009725336,"['B019', 'B016', 'B012', 'B018', 'B020']"
validation,alpha=0.9,U010,B015,,0,0.0,0.0,0.0,0.0,0.7415000000037253,"['B020', 'B017', 'B006', 'B009', 'B016']"
validation,alpha=0.9,U011,B016,2,1,0.2,1.0,0.33333333333333337,0.5,0.7197999998425075,"['B018', 'B016', 'B019', 'B013', 'B002']"
validation,alpha=0.9,U012,B006,2,1,0.2,1.0,0.33333333333333337,0.5,0.6177000000207045,"['B014', 'B006', 'B020', 'B001', 'B003']"
validation,alpha=0.9,U013,B017,,0,0.0,0.0,0.0,0.0,0.529999999798747,"['B020', 'B016', 'B007', 'B014', 'B018']"
validation,alpha=0.9,U014,B013,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.49760000001697335,"['B019', 'B016', 'B013', 'B020', 'B006']"
validation,alpha=0.9,U015,B007,,0,0.0,0.0,0.0,0.0,0.3994999997303239,"['B002', 'B020', 'B006', 'B008', 'B013']"
validation,alpha=1.0,U001,B007,,0,0.0,0.0,0.0,0.0,0.4764999998769781,"['B020', 'B017', 'B006', 'B009', 'B008']"
validation,alpha=1.0,U002,B003,2,1,0.2,1.0,0.33333333333333337,0.5,0.36860000000160653,"['B017', 'B003', 'B020', 'B006', 'B009']"
validation,alpha=1.0,U003,B016,2,1,0.2,1.0,0.33333333333333337,0.5,0.8698999999978696,"['B018', 'B016', 'B019', 'B012', 'B002']"
validation,alpha=1.0,U004,B016,2,1,0.2,1.0,0.33333333333333337,0.5,0.7769000003463589,"['B018', 'B016', 'B019', 'B012', 'B002']"
validation,alpha=1.0,U005,B006,2,1,0.2,1.0,0.33333333333333337,0.5,0.6100000000515138,"['B014', 'B006', 'B002', 'B020', 'B003']"
validation,alpha=1.0,U006,B006,2,1,0.2,1.0,0.33333333333333337,0.5,0.6096000001889479,"['B014', 'B006', 'B002', 'B001', 'B020']"
validation,alpha=1.0,U007,B015,1,1,0.2,1.0,0.33333333333333337,1.0,0.48770000012154924,"['B015', 'B014', 'B016', 'B007', 'B018']"
validation,alpha=1.0,U008,B012,4,1,0.2,1.0,0.33333333333333337,0.25,0.43099999993501115,"['B018', 'B016', 'B019', 'B012', 'B013']"
validation,alpha=1.0,U009,B012,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.2886999996007944,"['B019', 'B016', 'B012', 'B004', 'B002']"
validation,alpha=1.0,U010,B015,,0,0.0,0.0,0.0,0.0,0.4506000000219501,"['B020', 'B017', 'B006', 'B009', 'B004']"
validation,alpha=1.0,U011,B016,2,1,0.2,1.0,0.33333333333333337,0.5,0.42329999996582046,"['B018', 'B016', 'B019', 'B013', 'B002']"
validation,alpha=1.0,U012,B006,2,1,0.2,1.0,0.33333333333333337,0.5,0.3378000001248438,"['B014', 'B006', 'B001', 'B020', 'B003']"
validation,alpha=1.0,U013,B017,,0,0.0,0.0,0.0,0.0,0.34480000022085733,"['B020', 'B014', 'B016', 'B007', 'B018']"
validation,alpha=1.0,U014,B013,2,1,0.2,1.0,0.33333333333333337,0.5,0.3581000000849599,"['B019', 'B013', 'B016', 'B007', 'B006']"
validation,alpha=1.0,U015,B007,,0,0.0,0.0,0.0,0.0,0.4907000002276618,"['B020', 'B002', 'B006', 'B017', 'B004']"
test,alpha=0.0,U001,B020,4,1,0.2,1.0,0.33333333333333337,0.25,0.6576999999197142,"['B008', 'B009', 'B016', 'B020', 'B019']"
test,alpha=0.0,U002,B020,1,1,0.2,1.0,0.33333333333333337,1.0,0.505299999986164,"['B020', 'B019', 'B006', 'B009', 'B016']"
test,alpha=0.0,U003,B018,,0,0.0,0.0,0.0,0.0,0.5284999997456907,"['B003', 'B012', 'B019', 'B020', 'B006']"
test,alpha=0.0,U004,B018,,0,0.0,0.0,0.0,0.0,0.5632000002151472,"['B001', 'B002', 'B020', 'B019', 'B006']"
test,alpha=0.0,U005,B014,,0,0.0,0.0,0.0,0.0,0.4318000001148903,"['B019', 'B020', 'B007', 'B009', 'B016']"
test,alpha=0.0,U006,B014,,0,0.0,0.0,0.0,0.0,0.430199999755132,"['B019', 'B020', 'B007', 'B009', 'B016']"
test,alpha=0.0,U007,B017,3,1,0.2,1.0,0.33333333333333337,0.3333333333333333,0.36649999992732774,"['B001', 'B002', 'B017', 'B019', 'B006']"
test,alpha=0.0,U008,B019,1,1,0.2,1.0,0.33333333333333337,1.0,0.48870000000533764,"['B019', 'B020', 'B006', 'B009', 'B016']"
test,alpha=0.0,U009,B019,2,1,0.2,1.0,0.33333333333333337,0.5,0.32460000011269585,"['B018', 'B019', 'B020', 'B006', 'B007']"
test,alpha=0.0,U010,B020,2,1,0.2,1.0,0.33333333333333337,0.5,0.4874999999628926,"['B019', 'B020', 'B006', 'B009', 'B016']"
test,alpha=0.0,U011,B018,,0,0.0,0.0,0.0,0.0,0.4659999999603315,"['B019', 'B020', 'B006', 'B001', 'B003']"
test,alpha=0.0,U012,B014,,0,0.0,0.0,0.0,0.0,0.39779999997335835,"['B019', 'B020', 'B007', 'B009', 'B016']"
test,alpha=0.0,U013,B020,,0,0.0,0.0,0.0,0.0,0.4015000004073954,"['B019', 'B007', 'B006', 'B009', 'B016']"
test,alpha=0.0,U014,B019,1,1,0.2,1.0,0.33333333333333337,1.0,0.4449000002750836,"['B019', 'B020', 'B006', 'B009', 'B016']"
test,alpha=0.0,U015,B020,,0,0.0,0.0,0.0,0.0,0.46320000001287553,"['B002', 'B013', 'B009', 'B016', 'B008']"
test,alpha=0.7,U001,B020,1,1,0.2,1.0,0.33333333333333337,1.0,0.5945999996583851,"['B020', 'B016', 'B009', 'B008', 'B019']"
test,alpha=0.7,U002,B020,1,1,0.2,1.0,0.33333333333333337,1.0,0.41780000037761056,"['B020', 'B006', 'B017', 'B009', 'B016']"
